ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
a77,"""Lightweight Cryptography for Security and Privacy : 4th International Workshop, LightSec 2015, Bochum, Germany, September 10-11, 2015, Revised Selected Papers""","""edited by Tim Güneysu, Gregor Leander, Amir Moradi""","""1st ed. 2016. Cham : Springer International Publishing : Imprint: Springer, 2016.""","""Books""",9783319290782,"""Lecture notes in computer science ; 9542,""","""nan"""
a4936,"""Advanced data mining and applications : 6th international conference, ADMA 2010, Chongqing, China, November 19-21, 2010 : proceedings""","""Longbing Cao, Yong Feng, Jiang Zhong (eds.)""","""Berlin ; New York : Springer, 2010.""","""Books""",9783642173165,"""Lecture notes in computer science ; 6440-6441,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
a4938,"""Open data structures : an introduction""","""Pat Morin""","""Edmonton : AU Press, 2013- Minneapolis : Open Textbook Library ©2013-""","""Books""",9781927356395,"""Open paths to enriched learning ; 2,Open Textbook Library,""","""nan"""
a2527,"""Data structures and other objects : a second course in computer science""","""Michael Main, Walter Savitch""","""Turbo Pascal edition. Redwood City, Calif. : Benjamin/Cummings, [1995] ©1995""","""Books""",9780805370867,"""nan""","""nan"""
a81,"""High performance computing for computational science, VECPAR 2008 : 8th International Conference, Toulouse, France, June 24-27, 2008 : revised selected papers""","""José M. Laginha M. Palma ... [and others] (eds.)""","""Berlin ; New York : Springer, [2008] ©2008""","""Books""",9783540928591,"""Lecture notes in computer science ; 5336,LNCS sublibrary. Theoretical computer science and general issues,""","""nan"""
a2529,"""Knowledge science, engineering and management : 4th international conference, KSEM 2010, Belfast, Northern Ireland, UK, September 1-3, 2010 : proceedings""","""Yaxin Bi, Mary-Anne Williams (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642152801,"""Lecture notes in computer science ; 6291,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
a82,"""Advances in intelligent data analysis : reasoning about data : second international symposium, IDA-97, London, UK, August 4-6, 1997 : proceedings""","""Xiaohui Liu, Paul Cohen, Michael Berthold (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540633464,"""Lecture notes in computer science. 1280,""","""nan"""
a85,"""Neural information processing : 24th International Conference, ICONIP 2017, Guangzhou, China, November 14-18, 2017, Proceedings. Part IV""","""Derong Liu, Shengli Xie, Yuanqing Li, Dongbin Zhao, El-Sayed M. El-Alfy (eds.)""","""Cham : Springer, 2017.""","""Books""",9783319700939,"""Lecture notes in computer science ; 10637,LNCS sublibrary. Theoretical computer science and general issues,""","""nan"""
a90,"""Graph-theoretic concepts in computer science : 43rd International Workshop, WG 2017, Eindhoven, The Netherlands, June 21-23, 2017, Revised selected papers""","""Hans L. Bodlaender, Gerhard J. Woeginger (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319687056,"""Lecture notes in computer science ; 10520,Lecture notes in computer science. Advanced research in computing and software science,LNCS sublibrary. Theoretical computer science and general issues,""","""nan"""
a4949,"""Temporal, spatial, and spatio-temporal data mining : first international workshop, TSDM 2000, Lyon, France, September 12, 2000 : revised papers""","""John F. Roddick, Kathleen Hornsby (eds.)""","""Berlin ; New York : Springer, [2001] ©2001""","""Books""",9783540417736,"""Lecture notes in computer science ; 2007,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
a4950,"""Advances in information and computer security : 7th International Workshop on Security, IWSEC 2012, Fukuoka, Japan, November 7-9, 2012. Proceedings""","""Goichiro Hanaoka, Toshihiro Yamauchi (eds.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642341175,"""Lecture notes in computer science ; 7631,""","""nan"""
a2545,"""Understanding and conducting research in the health sciences""","""Christopher J.L. Cunningham, Department of Psychology, the University of Tennessee at Chattanooga, Chattanooga, TN, Bart L. Weathington, Department of Psychology, the University of Tennessee at Chattanooga, Chattanooga, TN, David J. Pittenger, College of Liberal Arts, Marshall University, Huntington, WV""","""Hoboken, New Jersey : Wiley, [2013]""","""Books""",9781118595107,"""nan""","""nan"""
a2546,"""Reinforcement learning for adaptive dialogue systems : a data-driven methodology for dialogue management and natural language generation""","""Verena Rieser, Oliver Lemon""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642249426,"""Theory and applications of natural language processing,""","""nan"""
a2548,"""Stabilization, safety, and security of distributed systems : 13th international symposium, SSS 2011, Grenoble, France, October 10-12, 2011 : proceedings""","""Xavier Défago, Franck Petit, Vincent Villain (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642245503,"""Lecture notes in computer science ; 6976,""","""nan"""
a4954,"""Big data benchmarks, performance optimization, and emerging hardware : 4th and 5th Workshops, BPOE 2014, Salt Lake City, USA, March 1, 2014 and Hangzhou, China, September 5, 2014, revised selected papers""","""Jianfeng Zhan, Rui Han, Chuliang Weng (Eds.)""","""Cham : Springer, [2014] ©2014""","""Books""",9783319130217,"""Lecture notes in computer science ; 8807,""","""nan"""
a4956,"""Future and emerging trends in language technology : machine learning and big data : second International Workshop, FETLT 2016, Seville, Spain, November 30-December 2, 2016, Revised selected papers""","""José F. Quesada, Francisco-Jesús Martín Mateos, Teresa López Soto (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319693651,"""Lecture notes in computer science ; 10341,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan"""
a4957,"""Data and applications security and privacy XXXI : 31st Annual IFIP WG 11.3 Conference, DBSec 2017, Philadelphia, PA, USA, July 19-21, 2017, Proceedings""","""Giovanni Livraga, Sencun Zhu (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319611761,"""Lecture notes in computer science ; 10359,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan"""
a2552,"""ActionScript graphing cookbook learn how to create appealing and interactive visual presentations of your data in ActionScript""","""Peter Backz, Dominic Gellineaux""","""Birminghan, UK : Packt Pub., 2012.""","""Books""",9781283960922,"""nan""","""nan"""
a104,"""Analytics in a big data world : the essential guide to data science and its applications""","""Bart Baesens""","""Hoboken, New Jersey : Wiley, 2014. ©2014""","""Books""",9781118892718,"""Wiley and SAS business series,""","""nan"""
a2557,"""Computer Security - ESORICS 2017 : 22nd European Symposium on Research in Computer Security, Oslo, Norway, September 11-15, 2017, Proceedings, Part I""","""edited by Simon N. Foley, Dieter Gollmann, Einar Snekkenes""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319664026,"""Lecture notes in computer science ; 10492,""","""nan"""
a105,"""Transactions on computational science V : special issue on cognitive knowledge representation""","""Marina L. Gavrilova ... [and others] (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642020971,"""Lecture notes in computer science ; 5540,""","""nan"""
a2559,"""Financial cryptography : Third International Conference, FC '99, Anguilla, British West Indies, February 22-25, 1999 : proceedings""","""Matthew Franklin (ed.)""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540663621,"""Lecture notes in computer science. 1648,""","""nan"""
a4965,"""Advances in geo-spatial information science""","""editors, Wenzhong Shi ... [and others]""","""Boca Raton, FL : CRC Press, 2012.""","""Books""",9780415620932,"""International Society for Photogrammetry and Remote Sensing (ISPRS) book series ; v. 10,Balkema book,""","""nan"""
a4966,"""MIPPR 2007 : Remote sensing and GIS data processing and applications, and Innovative multispectral technology and applications : 15-17 November 2007, Wuhan, China""","""Yongji Wang [and others], editors ; sponsored by State Key Laboratory for Multi-spectral Information Processing Technologies (China), Chinese Education Ministry Key Laboratory for Image Processing and Intelligence Control (China), Huazhong University of Science and Technology (China) ; technical sponsor, SPIE ; cooperating organizations, Institute of Automation, Chinese Academy of Sciences (China) [and] Wuhan University (China)""","""Bellingham, Wash. : SPIE, [2007] ©2007""","""Books""",9780819469540,"""Proceedings of SPIE--the International Society for Optical Engineering ; v. 6790,""","""nan"""
a4969,"""Transactions on large-scale data- and knowledge-centered systems XXXI special issue on data and security engineering""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662541739,"""Lecture notes in computer science ; 10140,""","""nan"""
a4970,"""STACS 89 : 6th Annual Symposium on Theoretical Aspects of Computer Science, Paderborn, FRG, February 16-18, 1989, proceedings""","""B. Monien, R. Cori [editors]""","""Berlin ; New York : Springer-Verlag, 1989.""","""Books""",9780387508405,"""Lecture notes in computer science ; 349,""","""nan"""
a118,"""Natural language processing with java : explore various approaches to organize and extract useful text from unstructured data using java""","""Richard M. Reese ; commissioning editor Nadeem N. Bagban ; acquisition editor Sonali Vernekar ; copy editors Pranjali Chury, Vikrant Phadke""","""Birmingham, England ; Mumbai, [India] : Packt Publishing, 2015. ©2015""","""Books""",9781784398941,"""Community experience distilled,""","""nan"""
