,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
5747,"""transactions on large-scale data- and knowledge-centered systems xxv""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; springer, â©2009.""","""electronic books.""",9783662495346,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",ab
5751,"""transactions on large-scale data- and knowledge-centered systems xxix""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin, germany : springer, 2016.""","""electronic books.""",9783662540374,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",ab
5752,"""transactions on large-scale data- and knowledge-centered systems xii""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""heidelberg : springer, [2013] ©2013""","""electronic books.""",9783642453151,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",ab
5753,"""transactions on large-scale data- and knowledge-centered systems xxxiii""","""abdelkader hameurlain, josef küng, roland wagner, reza akbarinia, esther pacitti (eds.)""","""berlin, germany : springer, 2017.""","""electronic books.""",9783662556962,"""lecture notes in computer science ; 5740. lecture notes in computer science. journal subline.""","""1 online resource (x, 372 pages)""",ab
5759,"""database issues for data visualization : ieee visualization '95 workshop, atlanta, georgia, usa, october 28, 1995 : proceedings""","""andreas wierse, georges g. grinstein, ulrich lang, (eds.)""","""berlin ; new york : springer, [1996] ©1996""","""electronic books. | conference proceedings.""",9783540622215,"""lecture notes in computer science ; 1183. 0302-9743""","""1 online resource (xiv, 219 pages)""",ab
5764,"""data base techniques for pictorial applications, florence, june 20-22, 1979""","""hrsg. von a. blaser""","""berlin ; new york : springer-verlag, 1980.""","""electronic books. | conference proceedings.""",9780387097633,"""lecture notes in computer science ; 81,""","""1 online resource (xi, 599 pages)""",ab
5766,"""requirements engineering in the big data era : second asia pacific symposium, apres 2015, wuhan, china, october 18-20, 2015 : proceedings""","""lin liu, mikio aoyama, (eds.)""","""heidelberg springer, [2015]""","""electronic books.""",9783662486344,"""communications in computer and information science ; 558,""","""1 online resource (xiv, 184 pages)""",ab
5776,"""handbook on data envelopment analysis""","""william w. cooper, lawrence m. seiford, joe zhu, editors""","""second edition. new york : springer, [2011] ©2011""","""electronic books. | handbooks and manuals.""",9781441961518,"""international series in operations research & management science ; v.164.""","""1 online resource (xxv, 497 p.).""",ab
5791,"""data-driven modelling of structured populations : a practical guide to the integral projection model""","""stephen p. ellner, dylan z. childs, mark rees""","""switzerland : springer, 2016.""","""electronic books.""",9783319288932,"""lecture notes on mathematical modelling in the life sciences,""","""1 online resource (xiii, 329 pages)""",ab
5792,"""dynamic stochastic models from empirical data""","""kashyap, rangasami l. (rangasami laksminarayana), 1938-""","""new york : academic press, 1976.""","""electronic books.""",9780124005501,"""mathematics in science and engineering ; v. 122,""","""1 online resource (xvi, 334 p.)""",ab
5793,"""improving collection of indicators of criminal justice system involvement in population health data programs : proceedings of a workshop""","""jordyn white and esha sinha, rapporteurs ; committee on national statistics, division of behavioral and social sciences and education, the national academies of sciences, engineering, medicine.""","""washington, dc : the national academies press, [2017] ©2017.""","""books""",9780309453370,"""nan""","""x, 90 pages""",ab
5795,"""improving measurement of productivity in higher education : panel on measuring higher education productivity, conceptual framework and data needs""","""teresa a. sullivan [and three others], editors ; committee on national statistics, board on testing and assessment, division of behavioral and social sciences and education, national research council of the national academies""","""washington, district of columbia : the national academies press, [2012] ©2012""","""books""",9780309257756,"""nan""","""xv, 210 p. 23 cm.""",ab
5796,"""improving measurement of productivity in higher education : panel on measuring higher education productivity, conceptual framework and data needs""","""teresa a. sullivan, christopher mackie, william f. massy, and esha sinha, editors""","""washington, d.c. : the national academies press, c2012.""","""books""",9780309257749,"""nan""","""xv, 210 p. 23 cm.""",ab
5836,"""data warehousing and knowledge discovery : 11th international conference, dawak 2009, linz, austria, august 31-september 2, 2009 : proceedings""","""torben bach pedersen, mukesh k. mohania, a min tjoa (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""electronic books. | conference papers and proceedings.""",9783642037306,"""lecture notes in computer science ; 5691,lncs sublibrary. information systems and applications, incl. internet/web, and hci,""","""1 online resource.""",ab
5852,"""large-scale parallel data mining""","""mohammed j. zaki, ching-tien ho (eds.)""","""berlin ; new york : springer, [2000] ©2000""","""electronic books.""",9783540671947,"""lecture notes in computer science ; 1759,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (viii, 260 p.)""",ab
5857,"""principles of data mining and knowledge discovery : second european symposium, pkdd '98, nantes, france, september 23-26, 1998 : proceedings""","""jan m. żytkow, mohamed quafafou (eds.)""","""berlin ; new york : springer, [1998] ©1998""","""electronic books. | conference proceedings.""",9783540650683,"""lecture notes in computer science ; 1510,lecture notes in computer science. lectures notes in artificial intelligence,""","""1 online resource (xi, 482 p.)""",ab
5881,"""data envelopment analysis : a handbook of empirical studies and applications""","""joe zhu, editor""","""new york : springer science + business media, [2016] ©2016""","""electronic books.""",9781489976840,"""international series in operations research & management science ; 238, 0884-8289""","""1 online resource (xiii, 587 pages)""",ab
5884,"""ice ages and interglacials : measurements, interpretation and models""","""rapp, donald, 1934-""","""second edition. heidelberg ; new york : springer-verlag ; chichester, uk : praxis pub., [2012] ©2012""","""electronic books.""",9783642300295,"""springer-praxis books in environmental sciences,""","""1 online resource (xxv, 404 pages)""",ab
5888,"""research and development in knowledge discovery and data mining : second pacific-asia conference, pakdd-98, melbourne, australia, april 15-17, 1998 : proceedings""","""xindong wu, ramamohanarao kotagiri, kevin b. korb (eds.)""","""berlin ; new york : springer, [1998] ©1998""","""electronic books.""",9783540643838,"""lecture notes in computer science ; 1394,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xvi, 424 p.)""",ab
5892,"""intelligent data engineering and automated learning--ideal 2000 : data mining, financial engineering, and intelligent agents : second international conference, shatin, n.t., hong kong, china, december 13-15, 2000 : proceedings""","""leung, kwong sak, | chan, lai-wan. | meng, helen.""","""berlin ; new york : springer, [2000] ©2000""","""electronic books. | conference proceedings.""",9783540414506,"""lecture notes in computer science ; 1983. 0302-9743""","""1 online resource (xvi, 573 pages)""",ab
5895,"""semantic web-based intelligent geospatial web services""","""yue, peng""","""new york, ny : springer, 2013.""","""electronic books.""",9781461468097,"""springerbriefs in computer science,""","""1 online resource (viii, 111 pages)""",ab
5899,"""advances in knowledge discovery and data mining : 13th pacific-asia conference, pakdd 2009, bangkok, thailand, april 27-30, 2009 : proceedings""","""thanaruk theeramunkong ... [and others] (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""electronic books. | conference papers and proceedings.""",9783642013072,"""lecture notes in computer science ; 5476,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xxiv, 1076 pages)""",ab
5901,"""international assessment of research and development in simulation-based engineering and science""","""editor, sharon c. glotzer""","""london : imperial college press ; singapore ; hackensack, n.j. : distributed by world scientific publishing, c2011.""","""books""",9781848166981,"""nan""","""xxiii, 287 pages""",ab
5902,"""transactions on large-scale data- and knowledge-centered systems xviii : special issue on database- and expert-systems applications""","""abdelkader hameurlain, josef küng, roland wagner, hendrik decker, lenka lhotska, sebastian link (eds.)""","""heidelberg : springer, 2015.""","""electronic books.""",9783662464854,"""lecture notes in computer science ; 8980,""","""1 online resource.""",ab
5905,"""transactions on large-scale data- and knowledge-centered systems vi : special issue on database- and expert-systems applications""","""abdelkader hameurlain [and 5 more] (eds.)""","""berlin ; new york : springer, [2013] ©2013""","""electronic books.""",9783642412219,"""lecture notes in computer science ; 8220,""","""1 online resource.""",ab
5922,"""transactions on large-scale data- and knowledge-centered systems xi : special issue on database- and expert-systems applications""","""abdelkader hameurlain [and 5 more] (eds.)""","""berlin ; springer, â©2012.""","""electronic books.""",9783642452697,"""lecture notes in computer science ; 8290,""","""1 online resource.""",ab
5928,"""transactions on large-scale data- and knowledge-centered systems xxviii : special issue on database- and expert-systems applications""","""abdelkader hameurlain, josef küng, roland wagner, qimin chen (eds.)""","""berlin ; springer, â©2012.""","""electronic books.""",9783662534557,"""lecture notes in computer science ; 9940,""","""1 online resource.""",ab
5931,"""transactions on large-scale data- and knowledge-centered systems xxiv : special issue on database- and expert-systems applications""","""abdelkader hameurlain, josef küng, roland wagner, hendrik decker, lenka lhotska, sebastian link (eds.)""","""berlin ; springer, â©2012.""","""electronic books.""",9783662492147,"""lecture notes in computer science ; 9510,""","""1 online resource.""",ab
5940,"""evolutionary computation, machine learning and data mining in bioinformatics : 9th european conference, evobio 2011, torino, italy, april 27-29, 2011 : proceedings""","""pizzuti, clara. | ritchie, marylyn deriggi. | giacobini, mario.""","""berlin ; new york : springer, [2011] ©2011""","""electronic books. | conference papers and proceedings.""",9783642203893,"""lecture notes in computer science ; 6623. 0302-9743 lncs sublibrary. sl 1, theoretical computer science and general issues.""","""1 online resource (x, 182 pages)""",ab
5945,"""evolutionary computation, machine learning and data mining in bioinformatics : 8th european conference, evobio 2010, istanbul, turkey, april 7-9, 2010 : proceedings""","""pizzuti, clara. | ritchie, marylyn deriggi. | giacobini, mario.""","""berlin ; new york : springer, [2011] ©2011""","""electronic books. | conference papers and proceedings.""",9783642203893,"""lecture notes in computer science ; 6023. 0302-9743 lncs sublibrary. sl 1, theoretical computer science and general issues.""","""1 online resource (xii, 247 p.)""",ab
5947,"""evolutionary computation, machine learning and data mining in bioinformatics : 8th european conference, evobio 2010, istanbul, turkey, april 7-9, 2010 : proceedings""","""pizzuti, clara. | ritchie, marylyn deriggi. | giacobini, mario.""","""berlin ; new york : springer, [2010] ©2010""","""electronic books. | conference papers and proceedings.""",9783642122118,"""lecture notes in computer science ; 6023. 0302-9743 lncs sublibrary. sl 1, theoretical computer science and general issues.""","""1 online resource (xii, 247 p.)""",ab
5948,"""evolutionary computation, machine learning and data mining in bioinformatics : 7th european conference, evobio 2009, tübingen, germany, april 15-17, 2009 : proceedings""","""pizzuti, clara. | ritchie, marylyn deriggi. | giacobini, mario.""","""berlin ; new york : springer, [2009] ©2009""","""electronic books. | conference papers and proceedings.""",9783642011849,"""lecture notes in computer science ; 6023. 0302-9743 lncs sublibrary. sl 1, theoretical computer science and general issues.""","""1 online resource (xii, 247 p.)""",ab
5950,"""discovery science : 16th international conference, ds 2013, singapore, october 6-9, 2013, proceedings""","""edited by johannes fürnkranz, eyke hüllermeier, tomoyuki higuchi""","""heidelberg : springer, 2013.""","""electronic books. | conference papers and proceedings.""",9783642408977,"""lecture notes in computer science ; 8140,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xviii, 357 pages)""",ab
5958,"""secure data management : 7th vldb workshop, sdm 2010, singapore, september 17, 2010 : proceedings""","""willem jonker, milan petković (eds.)""","""berlin ; new york : springer, 2010.""","""electronic books. | conference papers and proceedings.""",9783642155468,"""lecture notes in computer science ; 6358. 0302-9743 lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (x, 168 p.)""",ab
5965,"""secure data management : 8th vldb workshop, sdm 2011, seattle, wa, usa, september 2, 2011 : proceedings""","""willem jonker, milan petković (eds.)""","""heidelberg ; new york : springer, [2011] ©2011""","""electronic books.""",9783642235566,"""lecture notes in computer science ; 6933. 0302-9743 lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (viii, 168 p.)""",ab
5980,"""advances in data mining : applications and theoretical aspects : 9th industrial conference, icdm 2009, leipzig, germany, july 20-22, 2009 : proceedings""","""petra perner (ed.)""","""berlin ; new york : springer, 2009.""","""electronic books. | conference papers and proceedings.""",9783642030673,"""lecture notes in computer science ; 5633,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xiii, 654 p.)""",ab
5982,"""advances in data mining : applications and theoretical aspects : 10th industrial conference, icdm 2010, berlin, germany, july 12-14, 2010 : proceedings""","""petra perner (ed.)""","""berlin ; new york : springer, [2010] ©2010""","""electronic books. | conference papers and proceedings.""",9783642144004,"""lecture notes in computer science ; 6171,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xiii, 654 p.)""",ab
5991,"""advances in data mining : applications and theoretical aspects : 10th industrial conference, icdm 2010, berlin, germany, july 12-14, 2010 : proceedings""","""petra perner (ed.)""","""berlin ; new york : springer, [2012] ©2012""","""electronic books. | conference papers and proceedings.""",9783642314889,"""lecture notes in computer science ; 7377,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xiii, 654 p.)""",ab
5999,"""exploratory and multivariate data analysis""","""jambu, michel.""","""boston : academic press, [1991] ©1991""","""electronic books.""",9780080923673,"""statistical modeling and decision science,""","""1 online resource (xiii, 474 pages)""",ab
6000,"""exploratory and multivariate data analysis""","""jambu, michel.""","""boston : academic press, [1991] ©1991""","""electronic books.""",9780123800909,"""statistical modeling and decision science,""","""1 online resource (xiii, 474 pages)""",ab
6001,"""data warehousing and knowledge discovery : third international conference, dawak 2001, munich, germany, september 5-7, 2001 : proceedings""","""yahiko kambayashi, werner winiwarter, masatoshi arikawa (eds.)""","""berlin ; new york : springer-verlag, [2001] ©2001""","""electronic books. | conference proceedings.""",9783540425533,"""lecture notes in computer science ; 2114,""","""1 online resource (xiv, 359 p.)""",ab
6003,"""machine learning and data mining in pattern recognition : first international workshop, mldm'99, leipzig, germany, september 16-18, 1999 : proceedings""","""petra perner, maria petrou (eds.)""","""berlin ; new york : springer, [1999] ©1999""","""electronic books. | conference proceedings.""",9783540665991,"""lecture notes in computer science ; 1715,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (viii, 215 p.)""",ab
6031,"""advances in knowledge discovery and data mining : 15th pacific-asia conference, pakdd 2011, shenzhen, china, may 24-27, 2011, proceedings. part ii""","""huang, joshua zhexue. | cao, longbing, | srivastava, jaideep.""","""berlin ; new york : springer, [2011] ©2011""","""electronic books. | conference papers and proceedings.""",9783642208416,"""lecture notes in computer science ; 6634-6635,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xxiv, 558 pages).""",ab
6048,"""intelligent data engineering and automated learning -- ideal 2009 : 10th international conference, bourgos, spain, september 23-26, 2009 : proceedings""","""emilio corchado, hujun yin (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""electronic books. | conference papers and proceedings.""",9783642043949,"""lecture notes in computer science ; 5788,lncs sublibrary. information systems and applications, incl. internet/web, and hci,""","""1 online resource (xxiii, 822 pages)""",ab
6114,"""principles of data mining and knowledge discovery : 4 th european conference, pkdd 2000, lyon, france, september 13-16, 2000 : proceedings""","""zighed, djamel a., | komorowski, j. | å»ytkow, jan m.""","""berlin ; new york : springer, [2000] ©2000""","""electronic books. | conference proceedings.""",9783540410669,"""lecture notes in computer science ; 1910,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (xv, 701 p.)""",ab
6125,"""foundations of data organization and algorithms : 4th international conference, fodo '93, chicago, illinois, usa, october 13-15, 1993 : proceedings""","""david b. lomet, (ed.)""","""berlin ; new york : springer-verlag, [1993] ©1993""","""electronic books. | conference proceedings.""",9783540573012,"""lecture notes in computer science ; 730. 0302-9743""","""1 online resource (411 p.)""",ab
6130,"""transactions and database dynamics : 8th international workshop on foundations of models and languages for data and objects, dagstuhl castle, germany, september 27-30, 1999 : selected papers""","""saake, gunter, | schwarz, kerstin. | tã¼rker, can.""","""berlin ; new york : springer, [2000] ©2000""","""electronic books. | conference proceedings.""",9783540672012,"""lecture notes in computer science ; 1773. 0302-9743""","""1 online resource (viii, 245 p.)""",ab
6141,"""data management in grid and peer-to-peer systems : second international conference, globe 2009, linz, austria, september 1-2, 2009 : proceedings""","""abdelkader hameurlain, a min tjoa (eds.)""","""berlin ; new york : springer, [2009] ©2009""","""electronic books. | conference papers and proceedings.""",9783642037153,"""lecture notes in computer science ; 5697,lncs sublibrary. information systems and applications, incl. internet/web, and hci,""","""1 online resource (viii, 149 pages)""",ab
6176,"""transportation and information : trends in technology and policy""","""piyushimita (vonu) thakuriah, d. glenn geers""","""new york, ny : springer, [2013] ©2013""","""electronic books.""",9781461471295,"""springerbriefs in computer science,""","""1 online resource.""",ab
6177,"""data envelopment analysis in the financial services industry : a guide for practitioners and analysts working in operations research using dea""","""joseph c. paradi, h. david sherman, fai keung tam""","""cham, switzerland : springer, [2018] ©2018""","""electronic books.""",9783319697253,"""international series in operations research & management science ; 266,""","""1 online resource (379 pages).""",ab
6422,"""advances in data mining : applications and theoretical aspects : 11th industrial conference, icdm 2011, new york, ny, usa, august 30 - september 3, 2011 : proceedings""","""petra perner (ed.)""","""heidelberg ; new york : springer, [2011] ©2011""","""electronic books. | conference papers and proceedings.""",9783642231841,"""lecture notes in computer science ; 6870,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (x, 279 pages)""",ab
6424,"""advances in data mining : applications and theoretical aspects : 13th industrial conference, icdm 2013, new york, ny, usa, july 16-21, 2013. proceedings""","""petra perner (ed.)""","""switzerland : springer, 2016.""","""electronic books. | conference papers and proceedings.""",9783319415611,"""lecture notes in computer science. lecture notes in artificial intelligence ; 9728,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,""","""1 online resource (x, 279 pages)""",ab
6430,"""advances in data mining : applications and theoretical aspects : 17th industrial conference, icdm 2017, new york, ny, usa, july 12-13, 2017, proceedings""","""edited by petra perner""","""cham, switzerland : springer, 2017.""","""electronic books. | conference papers and proceedings.""",9783319627014,"""lecture notes in computer science. lecture notes in artificial intelligence ; 10357,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (x, 279 pages)""",ab
6436,"""science in the archives : pasts, presents, futures""","""edited by lorraine daston""","""chicago : the university of chicago press, 2017. ©2017""","""history.""",9780226432229,"""nan""","""viii, 397 pages""",ab
6441,"""data and applications security and privacy xxiv : 24th annual ifip wg 11.3 working conference, rome, italy, june 21-23, 2010 ; proceedings""","""sara foresti, sushil jajodia (eds.)""","""berlin ; new york : springer, 2010.""","""electronic books. | conference papers and proceedings.""",9783642137396,"""lecture notes in computer science ; 6166. lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (xiii, 376 p.)""",ab
6446,"""eddy covariance : a practical guide to measurement and data analysis""","""marc aubinet, timo vesala, dario papale, editors""","""dordrecht ; new york : springer, 2012. ©2012.""","""electronic books.""",9789400723504,"""springer atmospheric sciences,""","""1 online resource (xxii, 438 pages)""",ab
6447,"""eddy covariance : a practical guide to measurement and data analysis""","""marc aubinet, timo vesala, dario papale, editors""","""dordrecht ; new york : springer, [2012] ©2012""","""electronic books.""",9789400723511,"""springer atmospheric sciences,""","""1 online resource (xxii, 438 pages)""",ab
6459,"""agents and data mining interaction : 6th international workshop on agents and data mining interaction, admi 2010, toronto, on, canada, may 11, 2010 : revised selected papers""","""longbing cao ... [and others] (eds.)""","""berlin ; new york : springer, 2010.""","""electronic books. | conference papers and proceedings.""",9783642154201,"""lecture notes in computer science ; 5980,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,lecture notes in computer science. lecture notes in artificial intelligence,lncs sublibrary. artificial intelligence,""","""1 online resource (x, 189 p.)""",ab
6462,"""knowledge, data, and computer-assisted decisions""","""edited by martin schader, wolfgang gaul""","""berlin ; new york : springer-verlag, [1990] ©1990""","""electronic books.""",9783540527121,"""nato asi series. series f, computer and systems sciences ; 61.""","""1 online resource (viii, 421 pages)""",ab
6485,"""remote sensing for environmental data in albania : a strategy for integrated management""","""edited by manfred f. buchroithner""","""dordrecht ; boston : kluwer academic publishers, [2000] ©2000""","""electronic books. | conference proceedings.""",9780792365273,"""nato science series. partnership sub-series 2, environmental security ; 72.""","""1 online resource (256 pages).""",ab
6491,"""transactions on computational science xv : special issue on advances in autonomic computing: formal engineering methods for nature-inspired computing systems""","""marina l. gavrilova, c. j. kenneth tan, cong-vinh phan (eds.)""","""berlin ; new york : springer, [2012] ©2012""","""electronic books.""",9783642285257,"""lecture notes in computer science ; 7050,""","""1 online resource (x, 216 pages).""",ab
6565,"""principles of data mining""","""bramer, m. a. (max a.), 1948-""","""third edition. london, united kingdom : springer, 2016.""","""electronic books.""",9781447173076,"""undergraduate topics in computer science,""","""1 online resource.""",ab
6566,"""principles of data mining""","""bramer, m. a. (max a.), 1948-""","""second edition. london : springer, 2013.""","""electronic books.""",9781447148845,"""undergraduate topics in computer science,""","""1 online resource.""",ab
6570,"""provenance and annotation of data and processes : 4th international provenance and annotation workshop, ipaw 2012, santa barbara, ca, usa, june 19-21, 2012, revised selected papers""","""paul groth, james frew (eds.)""","""berlin ; new york : springer, [2012] ©2012""","""electronic books. | conference papers and proceedings.""",9783642342226,"""lecture notes in computer science ; 7525. lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource.""",ab
6575,"""transactions on data hiding and multimedia security vii""","""yun q. shi (ed.)""","""berlin ; new york : springer, [2012] ©2012""","""electronic books.""",9783642286933,"""lecture notes in computer science ; 7110,""","""1 online resource (viii, 114 pages).""",ab
6576,"""transactions on data hiding and multimedia security vii""","""yun q. shi... [and others] (eds.)""","""berlin ; new york : springer, [2011] ©2011""","""electronic books.""",9783642245565,"""lecture notes in computer science ; 6730,""","""1 online resource (viii, 114 pages).""",ab
6577,"""transactions on data hiding and multimedia security vii""","""yun q. shi (ed.)""","""berlin ; new york : springer, [2010] ©2010""","""electronic books.""",9783642142987,"""lecture notes in computer science ; 6010,lncs sublibrary. theoretical computer science and general issues,""","""1 online resource (viii, 114 pages).""",ab
6579,"""transactions on data hiding and multimedia security vii""","""yun q. shi (ed.)""","""berlin ; springer, â©2012.""","""electronic books.""",9783662467398,"""lecture notes in computer science ; 8948,""","""1 online resource (viii, 114 pages).""",ab
6581,"""transactions on data hiding and multimedia security vii""","""yun q. shi (ed.)""","""berlin ; new york : springer, [2007] ©2007""","""electronic books.""",9783540730910,"""lecture notes in computer science ; 4499,lecture notes in computer science. journal subline,""","""1 online resource (viii, 114 pages).""",ab
6583,"""citizen science : public participation in environmental research""","""edited by janis l. dickinson and rick bonney ; foreword by richard louv ; afterword by john w. fitzpatrick""","""ithaca : comstock pub. associates, c2012. ithaca : comstock pub. associates, c2012.""","""electronic books.""",9780801463952,"""nan""","""1 online resource (xiv, 279 pages)""",ab
6592,"""citizen science : public participation in environmental research""","""edited by janis l. dickinson and rick bonney ; foreword by richard louv ; afterword by john w. fitzpatrick""","""ithaca : comstock pub. associates, 2012.""","""electronic books.""",9780801449116,"""nan""","""1 online resource (xiv, 279 pages)""",ab
6613,"""data security and security data : 27th british national conference on databases, bncod 27, dundee, uk, june 29-july 1, 2010. revised selected papers""","""lachlan m. mackinnon (ed.)""","""berlin ; new york : springer, [2012] ©2012""","""electronic books. | conference papers and proceedings.""",9783642257049,"""lecture notes in computer science ; 6121. lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (x, 154 pages).""",ab
6614,"""principles of geographical information systems""","""peter a. burrough and rachael a. mcdonnell""","""new york : oxford university press, 1998.""","""books""",9780198233657,"""spatial information systems,spatial information series,""","""pages cm""",ab
6712,"""transactions on large-scale data- and knowledge-centered systems xxxv""","""abdelkader hameurlain, josef küng, roland wagner, sherif sakr, imran razzak, alshammari riyad (eds.)""","""berlin, germany : springer, 2017.""","""electronic books.""",9783662561218,"""lecture notes in computer science ; 10680,""","""1 online resource.""",ab
6714,"""transactions on large-scale data- and knowledge centered systems vii""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; new york : springer, [2009] ©2009""","""electronic books.""",9783642037221,"""lecture notes in computer science ; 5740,""","""1 online resource.""",ab
6716,"""transactions on large-scale data- and knowledge-centered systems xxxvi""","""abdelkader hameurlain, josef küng, roland wagner, tran khanh dang, nam thoai (eds.)""","""berlin, germany : springer, 2017.""","""electronic books.""",9783662562666,"""lecture notes in computer science ; 10720,""","""1 online resource.""",ab
6717,"""transactions on large-scale data- and knowledge-centered systems xiii""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""heidelberg : springer, 2013.""","""electronic books.""",9783642544262,"""lecture notes in computer science ; 8420,""","""1 online resource.""",ab
6719,"""transactions on large-scale data- and knowledge centered systems vii""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; new york : springer, [2010] ©2010""","""electronic books.""",9783642161759,"""lecture notes in computer science ; 6380,""","""1 online resource.""",ab
6726,"""transactions on large-scale data- and knowledge-centered systems xxvii : special issue on big data for complex urban systems""","""abdelkader hameurlain, josef küng, roland wagner, amin anjomshoaa, patrick c. k. hung, dominik kalisch, stanislav sobolevsky (eds.)""","""berlin : springer, 2016.""","""electronic books.""",9783662534168,"""lecture notes in computer science ; 9860,""","""1 online resource.""",ab
6728,"""transactions on large-scale data- and knowledge-centered systems xiv""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin : springer, 2014.""","""electronic books.""",9783662457146,"""lecture notes in computer science ; 8800,""","""1 online resource.""",ab
6732,"""transactions on large-scale data- and knowledge centered systems vii""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin : springer, 2012.""","""electronic books.""",9783642353321,"""lecture notes in computer science ; 7720,""","""1 online resource.""",ab
6738,"""transactions on large-scale data- and knowledge centered systems vii""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin ; new york : springer, [2012] ©2012""","""electronic books.""",9783642281488,"""lecture notes in computer science ; 7100,""","""1 online resource.""",ab
6740,"""transactions on large-scale data- and knowledge-centered systems xxv""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin : springer, 2016.""","""electronic books.""",9783662495346,"""lecture notes in computer science ; 9620,""","""1 online resource.""",ab
6744,"""transactions on large-scale data- and knowledge-centered systems xxix""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""berlin, germany : springer, 2016.""","""electronic books.""",9783662540374,"""lecture notes in computer science ; 10120,""","""1 online resource.""",ab
6745,"""transactions on large-scale data- and knowledge-centered systems xii""","""hameurlain, abdelkader. | kã¼ng, josef, | wagner, roland r.""","""heidelberg : springer, [2013] ©2013""","""electronic books.""",9783642453151,"""lecture notes in computer science ; 8320,""","""1 online resource.""",ab
6746,"""transactions on large-scale data- and knowledge-centered systems xxxiii""","""abdelkader hameurlain, josef küng, roland wagner, reza akbarinia, esther pacitti (eds.)""","""berlin, germany : springer, 2017.""","""electronic books.""",9783662556962,"""lecture notes in computer science ; 10430,""","""1 online resource.""",ab
6751,"""transactions on large-scale data- and knowledge-centered systems xviii : special issue on database- and expert-systems applications""","""abdelkader hameurlain, josef küng, roland wagner, hendrik decker, lenka lhotska, sebastian link (eds.)""","""heidelberg : springer, 2015.""","""electronic books.""",9783662464854,"""lecture notes in computer science ; 8980,""","""1 online resource (x, 199 pages).""",ab
