,Title,Author,Publication,Format,ISBN,Series,Physical Details,Source
4099,"""computer algebra and parallelism : second international workshop, ithaca, usa, may 9-11, 1990 : proceedings""","""zippel, r. e.""","""berlin ; springer-verlag, c1992.""","""electronic books. | conference proceedings.""",9783540470267,"""lecture notes in computer science ; 584.""","""1 online resource (ix, 114 p.)""",b
4104,"""computer treatment of large air pollution models""","""zlatev, zahari.""","""dordrecht""","""electronic books.""",9789401103114,"""environmental science and technology library ; 2.""","""1 online resource (xv, 359 pages).""",b
4105,"""number theory i : fundamental problems, ideas and theories""","""parshin, a. n.""","""berlin, heidelberg""","""electronic books.""",9783662080054,"""encyclopaedia of mathematical sciences ; 49.""","""1 online resource (v, 306 pages).""",b
4106,"""progress in cryptology--africacrypt 2009 : second international conference on cryptology in africa, gammarth, tunisia, june 21-25, 2009 : proceedings""","""preneel, bart,""","""berlin ; springer, c2009.""","""electronic books. | conference papers and proceedings.""",9783642023842,"""lecture notes in computer science ; 5580. lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (xi, 434 p.)""",b
4107,"""security and privacy in communication networks : 5th international icst conference, securecomm 2009, athens, greece, september 14-18, 2009, revised selected papers""","""chen, yan. | dimitriou, tassos d. | zhou, jianying.""","""berlin ; springer-verlag, â©2009.""","""electronic books. | conference proceedings.""",9783642052842,"""lecture notes of the institute for computer sciences, social informatics, and telecommunications engineering ; 19.""","""1 online resource (xiii, 460 pages).""",b
4108,"""advances in information and computer security : 4th international workshop on security, iwsec 2009 toyama, japan, october 28-30, 2009, proceedings""","""takagi, tsuyoshi. | mambo, masahiro.""","""berlin ; springer, â©2009.""","""electronic books. | conference papers and proceedings.""",9783642048463,"""lecture notes in computer science ; 5824. lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (xii, 229 pages)""",b
4109,"""information systems security : 5th international conference, iciss 2009, kolkata, india, december 14-18, 2009 ; proceedings""","""prakash, atul. | gupta, indranil sen.""","""berlin ; springer, â©2009.""","""electronic books. | conference papers and proceedings.""",9783642107726,"""lecture notes in computer science ; 5905. lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (xv, 325 pages)""",b
4110,"""cryptology and network security : 8th international conference, cans 2009, kanazawa, japan, december 12-14, 2009 : proceedings""","""garay, juan a. | miyaji, atsuko, | otsuka, akira.""","""berlin ; springer, â©2009.""","""electronic books. | conference papers and proceedings.""",9783642104336,"""lecture notes in computer science ; 5888. lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (xiv, 538 pages)""",b
4111,"""security technology : international conference, sectech 2009, held as part of the future generation information technology conference, fgit 2009, jeju island, korea, december...""","""åläzak, dominik.""","""berlin ; springer-verlag, â©2009.""","""electronic books. | conference papers and proceedings.""",9783642108471,"""communications in computer and information science ; 58.""","""1 online resource.""",b
4112,"""fast software encryption : 17th international workshop, fse 2010, seoul, korea, february 7-10, 2010, revised selected papers""","""hong, seokhie. | iwata, tetsu.""","""berlin ; springer, c2010.""","""electronic books. | conference papers and proceedings.""",9783642138584,"""lecture notes in computer science ; 6147. lncs sublibrary. sl 4, security and cryptology.""","""1 online resource (xi, 383 p.)""",b
