	Title	Author	Publication	Format	ISBN	Series	Physical Details
5508	SPSS demystified : a step-by-step guide to successful data analysis : for SPSS version 18.0  	Yockey, Ronald D.	Upper Saddle River, NJ		9780205735822 (alk. paper)0205735827 (alk. paper)		xiii, 271 pages
5509	An introduction to computer science : an algorithmic approach  	Tremblay, Jean-Paul, 1938-	New York		007065168X	McGraw-Hill computer science series.	xxv, 806 p.
5511	Children, computers, and science teaching : butterflies and bytes  	Abruscato, Joseph.	Englewood Cliffs, N.J.		0131319477 0131319396 (pbk.)		x, 161 p.
5512	The computer in the science curriculum  	Woerner, Janet J.	Watsonville, CA		0070675333		xii, 419 p.
5515	Real-structure modelling : a simulation-based methodology for the description of large scale units  	MÃ¼ller, Norbert, 1945-	KÃ¶ln		3885852853 (pbk.)	Interdisciplinary systems research. 87.	234 p.
5517	Graph-grammars and their application to computer science and biology : international workshop  	Claus, Volker,	Berlin ; Springer-Verlag, 1979.		038709525X	Lecture notes in computer science, v. 73 0302-9743 ;	477 p.; 24 cm.
5518	Computer modeling of social processes  	Liebrand, Wim B. G. | Nowak, Andrzej. | Hegselmann, Rainer.	London ; SAGE, 1998.		0761954236 0761954244 (pbk.)	New technologies for social research	xi, 193 p.
5519	MATLAB for neuroscientists : an introduction to scientific computing in MATLAB  	Wallisch, Pascal.	Burlington	Electronic books.	9780123838377 (electronic bk.) 0123838371 (electronic bk.)		1 online resource (571 pages)
5520	Data Structure Programming : With the Standard Template Library in C++  	Bergin, Joseph.	New York, NY	Electronic books.	9781461216308 electronic bk.1461216303 electronic bk. print print	Undergraduate texts in computer science.	1 online resource (XIV, 326 pages)
5521	Information Organization and Databases : Foundations of Data Organization  	Tanaka, Katsumi.	Boston, MA	Electronic books.	9781461513797 electronic bk.1461513790 electronic bk.	International series in engineering and computer science ; 579.	1 online resource (xii, 388 pages).
5522	Future data and security engineering : second International Conference, FDSE 2015, Ho Chi Minh City, Vietnam, November 23-25, 2015, Proceedings  	Dang, Tran Khanh, | Wagner, Roland, | KÃ¼ng, Josef, | Thoai, Nam, | Takizawa, Makoto, | Neuhold, Erich J.,	Cham	Electronic books.	9783319261355 electronic bk.3319261355 electronic bk.	Lecture notes in computer science ; 9446. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (xiii, 323 p.)
5525	CAAP '88 : 13th Colloquium on Trees in Algebra and Programming, Nancy, France, March 21-24, 1988 : proceedings  	Nivat, M. | Dauchet, M.	Berlin ; Springer-Verlag, c1988.		038719021X (U.S.)	Lecture notes in computer science, 299 0302-9743 ;	viii, 303 p.
5526	Trees in algebra and programming : 8th colloquium, L'Aquila, March 9-11, 1983 : proceedings  	Protasi, M. | Ausiello, G.	Berlin ; Springer-Verlag, c1983.		0387127275 (U.S.)	Lecture notes in computer science, 159 0302-9743 ;	vi, 416 p.
5527	CAAP '90  	Arnold, A. | Jones, Neil D.	Berlin ; Springer-Verlag, c1990.		0387525904 (U.S.)	Lecture notes in computer science, 431 0302-9743 ;	vi, 284 p.
5528	CAAP '92 : 17th Colloquium on Trees in Algebra and Programming, Rennes, France, February 26-28, 1992, proceedings  	Raoult, J.-C.	Berlin ; Springer-Verlag, 1992.		3540552510 (Berlin) 0387552510 (New York)	Lecture notes in computer science, 581 0302-9743 ;	viii, 361 p.
5529	Trees in algebra and programming : 6th colloquium, Genoa, March 1981 : proceedings  	Astesiano, E. | BÃ¶hm, C.	Berlin ; Springer-Verlag, c1981.		0387108289 (U.S.)	Lecture notes in computer science, 112 0302-9743 ;	364 p.
5530	Trees in algebra and programming, CAAP'94 : 19th International Colloquium, Edinburgh, U.K., April 11-13, 1994 : proceedings  	Tison, Sophie	Berlin ; Springer-Verlag, c1994.		038757879X (U.S.)	Lecture notes in computer science ; 787	x, 351 p.
5531	CAAP 86 : 11th Colloquium on Trees in Algebra and Programming, Nice, France, March 24-26, 1986 : proceedings  	Franchi-Zannettacci, P.	Berlin ; Springer-Verlag, c1986.		038716443X (U.S.	Lecture notes in computer science, 214 0302-9743 ;	vi, 306 p.
5534	Doing science : design, analysis, and communication of scientific research  	Valiela, Ivan.	Oxford ; Oxford University Press, 2009.		9780195385731 (pbk.		x, 333 p.
5539	The reference guide to data sources  	Bauder, Julia.	Chicago		9780838912270 (alk. paper) 0838912273 (alk. paper)		x, 172 pages
5540	Visualization in medicine and life sciences II : progress and new challenges  	Linsen, Lars.	Berlin ; New York	Electronic books. | Conference papers and proceedings.	9783642216084 electronic bk.3642216080 electronic bk.	Mathematics and visualization.	1 online resource (viii, 290 pages .)
5541	Big data made easy : a working guide to the complete Hadoop toolset  	Frampton, Michael	[Berkeley, CA]	Electronic books.	9781484200940 (electronic bk.)1484200942 (electronic bk.)  (print) (print)	Expert's voice in big data.	1 online resource
5542	Trees in algebra and programming--CAAP '96 : 21st international colloquium, LinkÃ¶ping, Sweden, April 22-24, 1996, proceedings  	Kirchner, H.	Berlin ; Springer, 1996.	Electronic books. | Conference proceedings.	9783540499442 (electronic bk.) 354049944X (electronic bk.)	Lecture notes in computer science ; 1059.	1 online resource (viii, 329 p.)
5543	The librarian's guide to microcomputer technology and applications  	Woods, Lawrence A.	White Plains, N.Y.		0867290455		vi, 209 p.
5544	Searching Multimedia Databases by Content 	Faloutsos, Christos.	Boston, MA	Electronic books.	9781461286295 1461286298 9781461314455 1461314453	Advances in database systems ; 3.	1 online resource (xii, 155 p.).
5548	Advances in intelligent data analysis V : 5th International Symposium on Intelligent Data Analysis, IDA 2003, Berlin, Germany, August 28-30, 2003 : proceedings  	Berthold, M.	Berlin ; Springer, c2003.		3540408134 (acid-free paper)	Lecture notes in computer science, 2810 0302-9743 ;	xv, 624 p.
5549	Advances in intelligent data analysis V : 5th International Conference on Intelligent Data Analysis, IDA 2003, Berlin, Germany, August 28-30, 2003 : proceedings  	Berthold, Michael R.	Berlin ; Springer, c2003.		3540408134 (acid-free paper) 9783540408130 (acid-free paper)	Lecture notes in computer science ; 2810	xv, 624 p.
5551	Computer interpretation of metaphoric phrases  	Russell, Sylvia Weber	Boston		9781501510656 (hd.bd.) 1501510657 (hd.bd.)		xi, 160 pages
5552	Data structures, using Pascal  	Rhoads, Samuel E.	Dubuque, IA		0697111733 9780697111739		xii, 388 pages
5553	Parallel computing in science and engineering : 4th International DFVLR Seminar on Foundations of Engineering Sciences, Bonn, Federal Republic of Germany, June 2526, 1987  	Dierstein, RÃ¼diger. | Wacker, H.-M. | MÃ¼ller-Wichards, D.	Berlin ; Springer-Verlag, c1988.		0387189238 (U.S.)	Lecture notes in computer science, 295 0302-9743 ; DFVLR seminar series.	185 p.
5559	Introduction to management science : a modeling and case studies approach with spreadsheets  	Hillier, Frederick S.	New York, NY		9780078024061 (hbk. ;0078024064 (hbk. ;9780077498917 0077498917	McGraw-Hill/Irwin series operations and decision sciences.	xx, 618 pages
5561	Data structures and program design  	Kruse, Robert Leroy, 1941-	Englewood Cliffs, N.J.		0131962531	Prentice-Hall software series.	xxi, 486 p.
5562	Data structures for personal computers  	Langsam, Yedidyah, 1952-	Englewood Cliffs, N.J.		0131962213		xvi, 560 p.
5563	Data structures using C  	Tenenbaum, Aaron M.	Englewood Cliffs, N.J.		0131997467		x, 662 p. ; 24 cm.
5564	Classical FORTRAN : programming for engineering and scientific applications  	Kupferschmid, Michael.	New York		0824708024 (alk. paper)		xvi, 736 p.
5565	Elementary FORTRAN with scientific and business applications  	Lin, Frank C.	Reston, Va.		0835916979		xv, 336 p.
5566	Data structures and PLI programming  	Augenstein, Moshe, 1947-	Englewood Cliffs, N.J.		0131977318		xi, 643 p.
5567	A practical introduction to data structures and algorithm analysis  	Shaffer, Clifford A.	Upper Saddle River, N.J.		0136609112		xvii, 488 p.
5568	Data structures and problem solving with Turbo Pascal : walls and mirrors  	Carrano, Frank M.	Redwood City, Calif.		080531217X		xxi, 715, [62] p.
5569	Data modeler's workbench : tools and techniques for analysis and design  	Hoberman, Steve, 1968-	New York ; Wiley, 2002.		0471111759 (pbk.		xxiii, 472 p.
5570	Java : data structures and programming  	Li, Liwu.	New York		354063763X (hardcover		xv, 483 p. ill., ; 24 cm. + 1 computer laser optical disk.
5571	Intelligent biometric techniques in fingerprint and face recognition  	Jain, L. C.	Boca Raton		0849320550 (alk. paper)	CRC Press international series on computational intelligence	463 p.
5572	Multimedia data hiding  	Wu, Min, 1974-	New York		0387954260 (alk. paper)		xvii, 218 p.
5573	Expert systems in banking : a guide for senior managers  	Chorafas, Dimitris N.	New York		0814714498		xvi, 382 p.
5575	Computers in information data centers. 	Helgeson, Duane. | Clifton, Joe Ann.	[Montvale, N.J., AFIPS Press, c1973]		0882830018		109 p. illus. 23 cm.
5577	The expert executive : using AI and expert systems for financial management, marketing, production, and strategy  	Hertz, David Bendel, 1919-	New York		0471896772		xvi, 238 p. ; 24 cm.
5578	Introduction to linear models 	Ward, Joe H., 1926-	Englewood Cliffs, N.J., Prentice-Hall [1973]		0134861752	Prentice-Hall series in educational measurement, research, and statistics	xviii, 333 p. illus. 24 cm.
5579	Structural equation modeling with EQS and EQSWindows : basic concepts, applications, and programming  	Byrne, Barbara M.	Thousand Oaks		0803950918 0803950926 (pbk.)		xiv, 288 p.
5580	Modelling covariances and latent variables using EQS  	Dunn, G. (Graham), 1949-	London ; Chapman & Hall, 1993.		0412489902 (acid-free)		xviii, 201 p.
5581	Neural networks in transport applications  	Himanen, Veli. | Nijkamp, Peter. | Reggiani, Aura. | Raitio, Juha.	Aldershot, Hants., England ; Ashgate, c1998.		184014808X		xxiii, 364 p.
5583	Programming with data structures : Pascal version  	Kruse, Robert Leroy, 1941-	Englewood Cliffs, N.J.		0137292384		xvi, 637 p.
5584	Data structures using Pascal  	Tenenbaum, Aaron M.	Englewood Cliffs, N.J.		0131966685	Prentice-Hall software series.	x, 774 p.
5585	Data structures in Pascal  	Reingold, Edward M., 1945-	Boston		0316739316	Little, Brown computer systems series.	xvi, 505 p.
5586	A practical approach to data structures : related algorithms in Pascal with applications  	Lester, Kit, 1948-	Chichester [England]		0745800009	Computers and their applications.	311 p. ; 25 cm.
5587	Data structures : using Turbo Pascal, versions 4.0, 5.0, and 6.0  	Boger, Thomas M.	Dubuque, IA		0697114163		xxi, 579 p.
5589	Data mining for bioinformatics  	Dua, Sumeet	Boca Raton, FL	Electronic books.	9781420004304 (electronic bk.)1420004301 (electronic bk.)		1 online resource (xix, 328 pages)
5590	Databases and Information Systems : Fourth International Baltic Workshop, Baltic DB&IS 2000 Vilnius, Lithuania, May 1-5, 2000 Selected Papers  	BarzdinÊ¹, Iï¸ Aï¸¡. M. (Iï¸ Aï¸¡n Martynovich)	Dordrecht	Electronic books.	9789401596367 electronic bk.9401596360 electronic bk.		1 online resource (x, 348 p.)
5596	Advances in intelligent data analysis : third international symposium, IDA-99, Amsterdam, The Netherlands, August 9-11, 1999 : proceedings  	Hand, D. J. | Kok, Joost N. | Berthold, M.	Berlin ; Springer, c1999.		3540663320 (softcover	Lecture notes in computer science, 1642 0302-9743 ;	xii, 538 p.
5598	Reality mining : using big data to engineer a better world  	Eagle, Nathan	Cambridge, Massachusetts	Electronic books.	9780262324564 (electronic bk.)0262324563 (electronic bk.)9780262324571 0262324571  (hardcover ; (hardcover ;		1 online resource (vi, 199 pages)
5599	Protocols for High-Speed Networks VI : IFIP TC6 WG6.1 & WG6.4  	Touch, Joseph D.	Boston, MA	Electronic books.	9780387355801 electronic bk.0387355804 electronic bk.	IFIP - The International Federation for Information Processing ; 31	1 online resource (xii, 281 p.).
5600	Modeling complex data for creating information  	Gershon, Nahum. | Dubois, J. E.	Berlin ; Springer ; c1996.		3540610693 (hardcover)	Data and knowledge in a changing world	xx, 277 p.
5602	Modeling data irregularities and structural complexities in data envelopment analysis  	Zhu, Joe, | Cook, Wade D.	New York, NY		9780387716060 0387716068		viii, 333 p.
5607	SPSS 10.0 guide to data analysis  	NoruÅ¡is, M. J. (Marija J.), 1948-	Upper Saddle River, N.J.		0130292044		xviii, 577 p.
5611	Data structures, algorithms, and object-oriented programming  	Heileman, Gregory L.	New York		0070278938	McGraw-Hill computer science series. Fundamentals of computing and programming	xvi, 446 p.
5612	Trees in algebra and programming : 6th colloquium, Genoa, March 5-7, 1981 : proceedings  	Astesiano, E. | BÃ¶hm, C.	Berlin ; Springer-Verlag, 1981.	Electronic books. | Conference proceedings.	9783540387169 (electronic bk.) 3540387161 (electronic bk.)	Lecture notes in computer science ; 112. 0302-9743	1 online resource (vi, 364 p.)
5614	Similarity search and applications : 8th International Conference, SISAP 2015, Glasgow, UK, October 12-14, 2015, Proceedings. 	Amato, Giuseppe, | Connor, Richard, | Falchi, Fabrizio, | Gennaro, Claudio,	Cham	Electronic books. | Conference papers and proceedings.	9783319250878 electronic bk.3319250876 electronic bk.	Lecture notes in computer science ; 9371. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource.
5616	Map framework : a formal model of maps as a fundamental data type in information systems  	McKenney, Mark	Cham, Switzerland	Electronic books.	9783319467665 (electronic bk.)3319467662 (electronic bk.) (print) (print)		1 online resource (xi, 140 pages)
5620	Linked data management  	Harth, Andreas, | Hose, Katja, | Schenkel, Ralf,	Boca Raton, FL	Electronic books.	9781466582415 1466582413	Emerging directions in database systems and applications.	1 online resource (xxvii, 536 pages)
5622	Mastering system center Data Protection Manager 2007 	Ganger, Devin L.	Indianapolis, Ind.	Electronic books.	9780470181522 0470181524		1 online resource (xxii, 482 p.)
5623	Data management and analysis using JMP : health care case studies  	Oppenlander, Jane E.	Cary, NC	Electronic books.	9781629605401 1629605409		1 online resource
5628	Business component factory : a comprehensive overview of component-based development for the enterprise  	Herzum, Peter, 1963-	New York		0471327603 (cloth		xxvii, 579 p.
5629	Data refinement : model-oriented proof methods and their comparison  	Roever, W. P. de (Willem Paul)	Cambridge ; Cambridge University Press, 1998.		0521641705 (hb)	Cambridge tracts in theoretical computer science ; 47	xi, 423 p.
5630	Microcomputer applications in academic libraries  	Burton, Paul F.	[London]		0712330216 (pbk.)	Library and information research report, 16 0263-1709 ;	vii, 125 p.
5631	SPSS demystified : a step-by-step guide to successful data analysis  	Yockey, Ronald D.	Upper Saddle River, N.J. 07458		9780132238854 (alk. paper) 0132238853 (alk. paper)		xiii, 274 p.
5632	Business object design and implementation III : OOPSLA '99 workshop proceedings, 2 November 1999, Denver, Colorado, USA  	Patel, D. | Sutherland, Jeffrey Victor. | Miller, J.	London ; Springer, c1999.		1852332174 (alk. paper)		vi, 179 p.
5633	Business modeling with UML : business patterns at work  	Eriksson, Hans-Erik, 1961-	New York		0471295515 (cloth		xix, 459 p.
5634	Large scale scientific computing  	Engquist, BjÃ¶rn, | Deuflhard, P.	Boston		0817633553	Progress in scientific computing. v. 7	xii, 388 p.
5635	High performance computing in science and engineering '99 : transactions of the High Performance Computing Center Stuttgart (HLRS) 1999  	Krause, E. | JÃ¤ger, W.	Berlin ; Springer, c2000.		3540665048		xiii, 512 p.
5636	Foundations of data organization and algorithms : 3rd international conference, FODO 1989, Paris, France, June 21-23, 1989 : proceedings  	Litwin, W. | Schek, H.-J.	Berlin ; Springer-Verlag, c1989.		0387512950 (New York)	Lecture notes in computer science, 367 0302-9743 ;	viii, 531 p.
5637	Paragon : a language using type hierarchies for the specification, implementation, and selection of abstract data types  	Sherman, Mark Steven.	Berlin ; Springer-Verlag, c1985.		0387152121 (U.S.)	Lecture notes in computer science, 189 0302-9743 ;	ix, 364 p.
5638	Advances in intelligent data analysis : 4th international conference, IDA 2001, Cascais, Portugal, September 13-15, 2001 : proceedings  	Hoffmann, Frank.	Berlin ; Springer, c2001.		3540425810 (acid-free paper)	Lecture notes in computer science, 2189 0302-9743 ;	xii, 384 p.
5639	Pattern Recognition and Machine Intelligence : 7th International Conference, PReMI 2017, Kolkata, India, December 5-8, 2017, Proceedings  	Shankar, B. Uma. | Ghosh, Kuntal. | Mandal, Deba Prasad. | Ray, Shubhra Sankar. | Zhang, David. | Pal, Sankar K.	Cham	Electronic books.	9783319699004 3319699008	Lecture notes in computer science ; 10597. 0302-9743	1 online resource (xxviii, 695 p.)
5640	Explorations in automatic thesaurus discovery  	Grefenstette, Gregory, 1956-	Boston		0792394682 (acid-free paper)	Kluwer international series in engineering and computer science. Natural language processing and machine translation. Kluwer international series in engineering and computer science ; SECS 278.	xii, 305 p.
5641	Expert systems in engineering : principles and applications : international workshop, Vienna, Austria, September 24-26, 1990, proceedings  	Gottlob, G. | Nejdl, W.	Berlin ; Springer-Verlag, c1990.		0387531041 (U.S.	Lecture notes in computer science, 462. 0302-9743 ; Lecture notes in computer science. Lecture notes in artificial intelligence.	ix, 260 p.
5642	Discovering causal structure : artificial intelligence, philosophy of science, and statistical modeling ; with a foreword by Herbert A. Simon  	Glymour, Clark N.	Orlando		0122869621 (alk. paper)		xvii, 394 p.
5645	High performance computing in science and engineering '11 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2011  	Nagel, Wolfgang E. | KrÃ¶ner, Dietmar. | Resch, Michael.	Berlin ; Springer, Â©2012.	Electronic books. | Congresses. | Conference papers and proceedings.	9783642238697 electronic bk.3642238696 electronic bk. alk. paper alk. paper		1 online resource (xiii, 649 pages)
5647	Transactions on computational science III 	Gavrilova, Marina L. | Tan, C. J. Kenneth	Heidelberg	Electronic books.	9783642002120 3642002129 3642002110 9783642002113	Lecture notes in computer science ; 5300.	1 online resource.
5651	Certification study guide : IBM Tivoli Storage Manager (ITSM) version 5.3  	Ceylan, Sanver.	White Plains, N.Y.	Electronic books.	0738493856	IBM redbooks	1 online resource (246 p.)
5652	The Electronic Signatures in Global and National Commerce Act : hearing before the Subcommittee on Finance and Hazardous Materials of the Committee on Commerce, House of...	United States. Congress. House. Committee on Commerce. Subcommittee on Finance and Hazardous Materials.	Washington		0160587646		iii, 41 p. ; 23 cm.
5653	IBM TS3500 tape library with system z attachment : a practical guide to enterprise tape drives and TS3500 tape automation  	Haeusser, Babette.	[United States?]	Electronic books.	0738431567 9780738431567	IBM redbooks.	1 online resource (xx, 574 p.)
5655	Applied statistics with SPSS  	Huizingh, Eelko.	London ; SAGE, 2007.		1412919304 (hbk.) 9781412919302 (hbk.) 1412919312 (pbk.) 9781412919319 (pbk.)		viii, 351 p.
5657	Classification, Data Analysis, and Data Highways : Proceedings of the 21st Annual Conference of the Gesellschaft fÃ¼r Klassifikation e.V., University of Potsdam, March 12-14,...	Balderjahn, Ingo.	Berlin, Heidelberg	Electronic books.	9783642720871 electronic bk.3642720870 electronic bk.	Studies in classification, data analysis, and knowledge organization.	1 online resource (ix, 414 pages)
5659	Advances in computer science--ASIAN 2004 : higher-level decision making : 9th Asian Computing Science Conference : dedicated to Jean-Louis Lassez on the occasion of his 5th...	Maher, Michael, | Lassez, Jean-Louis.	Berlin ; Springer-Verlag, c2004.		354024087X	Lecture notes in computer science, 3321 0302-9743 ;	xii, 510 p.
5661	Files and data structures with COBOL  	Mensching, James, 1946-	Glenview, Ill.		0673186083		368 p.
5662	Security and watermarking of multimedia contents II : 24-26 January, 2000, San Jose, California  	Wong, Ping Wah. | Delp, Edward J.	Bellingham, Washington		0819435899	Proceedings of SPIE--the International Society for Optical Engineering ; v. 3971.	xi, 548 p.
5664	Security and watermarking of multimedia contents IV : 21-24 January, 2002, San Jose, [California] USA  	Delp, Edward J. | Wong, Ping Wah.	Bellingham, Washington		0819444154	Proceedings of SPIE--the International Society for Optical Engineering ; v. 4675	xi, 712 p.
5666	The Computer Security Enhancement Act of 1997 to amend the National Institute of Standards and Technology Act to enhance the ability of the National Institute of Standards and...	United States. Congress. House. Committee on Science. Subcommittee on Technology.	Washington		0160558824		iii, 144 p. ; 24 cm.
5669	Cloud computing in ocean and atmospheric sciences  	Vance, T.	Amsterdam	Electronic books.	9780128031933 (electronic bk.)012803193X (electronic bk.)		1 online resource
5670	High performance computing in science and engineering : transactions of the High Performance Computing Center Stuttgart (HLRS) 1998  	Krause, E. | JÃ¤ger, W.	Berlin ; Springer, c1999.		354065030X (alk. paper)		xii, 452 p.
5671	Principles of data mining and knowledge discovery : 5th European conference, PKDD 2001, Freiburg, Germany, September 3-5, 2001 : proceedings  	Raedt, Luc de, | Siebes, Arno,	New York		3540425349 (softcover	Lecture notes in computer science ; 2168. Lecture notes in computer science. Lecture notes in artificial intelligence.	xviii, 510 p.
5672	Rough sets, fuzzy sets, data mining, and granular computing : 9th international conference, RSFDGrC 2003 Chongqing, China, May 26-29, 2003 : proceedings  	Wang, Guoyin.	Berlin ; Springer, c2003.		3540140409 (softcover	Lecture notes in computer science ; 2639. Lecture notes in computer science. Lecture notes in artificial intelligence.	xvii, 741 p.
5673	Computational statistics in the earth sciences : with applications in MATLAB  	Chave, Alan Dana	Cambridge	Electronic books.	9781316156100 electronic book1316156109 electronic book		1 online resource
5674	SPSS 12.0 guide to data analysis  	NoruÅ¡is, M. J. (Marija J.), 1948-	Upper Saddle River, N.J.		0131478869 (pbk.) 9780131478862 (pbk.)		xviii, 637 p.
5675	Data Analysis : Scientific Modeling and Practical Application  	Gaul, Wolfgang.	Berlin, Heidelberg	Electronic books.	9783642582509 electronic bk.3642582508 electronic bk.	Studies in classification, data analysis, and knowledge organization.	1 online resource (xii, 548 pages)
5676	18th International Conference on Scientific and Statistical Database Management : SSDBM 2006 : proceedings : 3-5 July, 2006, Vienna, Austria  	Froeschl, Karl. | Grossmann, Wilfried,	Los Alamitos, Calif.	Electronic books. | Conference papers and proceedings.	0769525903 9780769525907		1 online resource (xi, 399 pages)
5677	Data analysis for using SPSS for Windows versions 8 to 10 : a beginner's guide  	Foster, Jeremy J.	London ; Sage Publications, 2001.		0761969268 9780761969266 0761969276 (pbk.)9780761969273 (pbk.)		xvii, 252 pages
5678	Libraries and information science in the electronic age  	Edelman, Hendrik.	Philadelphia		0894950584	Samuel Lazerow memorial lecture series ;	xv, 177 p. ; 24 cm.
5679	Incomplete data and data dependencies in relational databases 	Greco, Sergio.	San Rafael, Calif.	Electronic books.	9781608459278 (electronic bk.)1608459276 (electronic bk.)1608459268 9781608459261  (pbk.)	Synthesis lectures on data management ; #29. 2153-5418	1 online resource (xi, 111 pages)
5683	Random generation of trees : random generators in computer science  	Alonso, Laurent	Boston		079239528X (acid-free paper)		xi, 208 p.
5684	Knowledge discovery and measures of interest  	Hilderman, Robert J.	Boston		0792375076 (alk. paper)	The Kluwer international series in engineering and computer science ; SECS 638	xvii, 162 p.
5685	Natural language processing in artificial intelligence : the science and industry perspective  	Obermeier, Klaus K., 1954-	Chichester, West Sussex, England		0745805620	Ellis Horwood series in artificial intelligence	263 p.
5686	Electronic payment systems  	O'Mahony, Donal, 1961-	Boston, MA		0890069255	The Artech House computer science library	xii, 254 p.
5687	Earth surface systems  	Huggett, Richard J.	Berlin ; Springer-Verlag, c1985.		0387154213 (U.S.)	Springer series in physical environment. 1	xii, 270 p.
5689	Environmental information systems in industry and public administration  	Rautenstrauch, Claus, 1961-	Hershey, PA		1930708025 (cloth)		ii, 436 p.
5690	Computerizing the card catalog in the university library; a survey of user requirements 	Palmer, Richard P.	Littleton, Colo., Libraries Unlimited, 1972.		0872870413	Research studies in library science ; no. 6	141 p. illus. 24 cm.
5691	Library automation : a systems and software sampler  	Levy, Charlotte L.	Brooklyn, N.Y.		0914791109 (pbk.)	CompuBibs (Series) #11.	87 leaves ; 28 cm.
5692	Auswirkungen neuer Technologien auf Bibliotheken und Bibliothekare : Arbeitsbericht  	Schwarz, Helga.	Berlin		3924659036		103 p.
5694	Disziplin und KreativitÃ¤t : sozialwissenschaftliche Computersimulation : theoretische Experimente und praktische Anwendung  	Bacher, Johann | Kreutz, Henrik	Opladen		3810009113	Forschungen zur Soziologie und Sozialanthropologie Bd. 2	xxxii, 286 p.
5695	Survey and statistical computing : proceedings of an international conference organised by the Study Group on Computers in Survey Analysis, Bristol, UK, September 24-26, 1992  	Westlake, Andrew	Amsterdam ; North-Holland, 1992.		0444897798 (acid-free paper)		xvi, 501 p.
5696	Time-sharing computation in the social sciences 	Meyers, Edmund D., 1937-	Englewood Cliffs, N.J., Prentice-Hall [1973]		0139171207	Prentice-Hall series in automatic computation.	xiv, 409 p. illus. 24 cm.
5697	Form-based approach to distributed cooperative work  	HÃ¤mmÃ¤inen, Heikki.	Helsinki		9516663230	Acta polytechnica Scandinavica. Mathematics and computer science series, no. 58 0355-2713 ;	50 p.
5698	Systems of reductions  	Benninghofen, B. (Benjamin), 1958-	Berlin ; Springer-Verlag, c1987.		0387185984 (U.S.)	Lecture notes in computer science, 277 0302-9743 ;	x, 263 p. ; 25 cm.
5699	Grammatical picture generation : a tree-based approach  	Drewes, F.	Berlin ; Springer, 2006.		354021304X (hbk.)	Texts in theoretical computer science	xii, 474 p.
5700	Information retrieval and processing  	Doyle, Lauren B., 1926-	Los Angeles		0471221511		xv, 410 p.
5701	Managing and sharing research data : a guide to good practice  	Corti, Louise	Los Angeles	EinfÃ¼hrung.	9781446267257 (hbk.) 1446267253 (hbk.) 9781446267264 (pbk.) 1446267261 (pbk.)		x, 222 pages
5702	Open and Big Data Management and Innovation : 14th IFIP WG 6.11 Conference on e-Business, e-Services, and e-Society, I3E 2015, Delft, The Netherlands, October 13-15, 2015,...	Janssen, Marijn, | MÃ¤ntymÃ¤ki, Matti, | Hidders, Jan, | Klievink, Bram, | Lamersdorf, Winfried, | van Loenen, Bastiaan, | Zuiderwijk, Anneke,	Cham	Electronic books.	9783319250137 electronic bk.3319250132 electronic bk. print	Lecture notes in computer science ; 9373. 0302-9743 LNCS sublibrary. SL 1, Theoretical computer science and general issues.	1 online resource (xiv, 514 p.)
5703	New geometric data structures for collision detection and haptics 	Weller, RenÃ©.	Cham ; Springer, Â©2013.	Electronic books.	9783319010205 electronic bk.3319010204 electronic bk.1299858864 ebk9781299858862 ebk	Springer series on touch and haptic systems.	1 online resource (xvi, 240 pages).
5705	Qualitative methods in public health : a field guide for applied research  	Ulin, Priscilla R.	San Francisco, CA		0787976342 (alk. paper)		xxii, 318 p.
5707	Handbook of research on emerging developments in data privacy  	Gupta, Manish,	Hershey PA	Electronic books.	9781466673823 (electronic bk.)1466673826 (electronic bk.)		1 online resource
5710	An auditor's guide to encryption  	Friedlob, G. Thomas	Altamonte Springs, Fla.		0894133934		v, 182 p.
5711	High availability and disaster recovery : concepts, design, implementation  	Schmidt, Klaus.	Berlin ; Springer, 2006.		3540244603 (hbk.)		xii, 410 p.
5712	Knowledge-based software development for real-time distributed systems  	Tsai, Jeffrey J.-P.	Singapore ; World Scientific Pub. Co., c1993.		9810211287	Series on software engineering and knowledge engineering vol. 1	234 p.
5713	Second national Conference on Integrated Online Library Systems : proceedings : September 13 and 14, 1984 Atlanta, Georgia  	Genaway, David C.,	Canfield, Ohio		0943970040		vi, 334 p.
5717	Backup & recovery 	Preston, W. Curtis.	Sebastopol, Calif.	Electronic books.	0596102461 9780596102463		1 online resource
5719	Document engineering : analyzing and designing documents for business informatics & Web services  	Glushko, Robert J.	Cambridge, Mass.		0262072610 (alk. paper)		xxiii, 703 p.
5721	Active Directory disaster recovery  	Rommel, Florian.	Birmingham, U.K.	Electronic books.	9781847193278 1847193277		1 online resource (1 v. (unpaged))
5722	Backup & recovery  	Preston, W. Curtis.	Sebastopol, Calif.	Electronic books.	0596102461 9780596102463		1 online resource
5725	Recent Advances in RSA Cryptography 	Katzenbeisser, Stefan.	Boston, MA	Electronic books.	9781461514312 electronic bk.1461514312 electronic bk.	Advances in information security ; 3.	1 online resource (xiii, 139 p.).
5726	Information-Statistical Data Mining : Warehouse Integration with Examples of Oracle Basics  	Sy, Bon K.	Boston, MA	Electronic books.	9781441990013 electronic bk.1441990011 electronic bk.	Kluwer international series in engineering and computer science ; 757.	1 online resource (xxii, 289 pages).
