	Title	Author	Publication	Format	ISBN	Series	Physical Details
103	Perspectives on data science for software engineering  	Menzies, Tim, | Williams, Laurie, | Zimmermann, Thomas,	Cambridge, MA	Electronic books.	9780128042618 0128042613		1 online resource
105	Process mining : data science in action  	Aalst, Wil van der	Heidelberg	Electronic books.	9783662498514 (electronic bk.)3662498510 (electronic bk.) (print) (print)		1 online resource (xix, 467 pages)
106	Advanced statistical methods in data science  	Chen, Ding-Geng, | Chen, Jiahua, | Lu, Xuewen, | Yi, Grace, | Yu, Hao,	Singapore	Electronic books. | Conference papers and proceedings.	9789811025945 (electronic bk.)9811025940 (electronic bk.)9811025932 9789811025938  (print)	ICSA book series in statistics.	1 online resource.
107	Data Science on the Google Cloud Platform  	Lakshmanan, Valliappa	O'Reilly Media, Inc., 2017.	Electronic books.	9781491974551 1491974559		1 online resource (408 p.)
114	Perspectives on data science for software engineering  	Menzies, Tim, | Williams, Laurie, | Zimmermann, Thomas,	Cambridge, MA	Electronic books.	9780128042618 0128042613		1 online resource
118	New advances in statistics and data science  	Chen, Ding-Geng, | Jin, Zhezhen, | Li, Gang, | Li, Yi, | Liu, Aiyi, | Zhao, Yichuan,	Cham, Switzerland	Electronic books.	9783319694160 (electronic bk.)3319694162 (electronic bk.)	ICSA book series in statistics.	1 online resource.
119	Data science, classification, and related methods : proceedings of the fifth Conference of the International Federation of Classification Societies (IFCS-96), Kobe, Japan, March...	Hayashi, Chikio,	Tokyo ; Springer, Â©1998.	Electronic books. | Conference papers and proceedings.	9784431659501 electronic bk.4431659501 electronic bk.	Studies in classification, data analysis, and knowledge organization.	1 online resource (xv, 780 pages)
123	Data smart : using data science to transform information into insight  	Foreman, John W.	Indianapolis, IN	Electronic books.	111866146X 9781118661468		1 online resource
124	Data science algorithms in a week : data analysis, machine learning, and more  	Natingga, DÃ¡vid	Birmingham, UK	Electronic books.	9781787282742 (electronic bk.)1787282740 (electronic bk.)		1 online resource
125	Modeling techniques in predictive analystics with Python and R : a guide to data science  	Miller, Thomas W.	Upper Saddle River, NJ	Electronic books.	9780133892123 0133892123		1 online resource
126	Data smart : using data science to transform information into insight  	Foreman, John W.	Indianapolis, IN	Electronic books.	111866146X 9781118661468		1 online resource
127	Big data at work : the data science revolution and organizational psychology  	Tonidandel, Scott. | King, Eden. | Cortina, Jose M.	New York		9781848725812 (hardback ;1848725817 (hardback ;9781848725829 (pbk. ;1848725825 (pbk. ; (ebook)	Organizational frontiers series.	xiii, 367 pages
128	Modeling techniques in predictive analystics with Python and R : a guide to data science  	Miller, Thomas W.	Upper Saddle River, NJ	Electronic books.	9780133892123 0133892123		1 online resource
134	Data science and social research : epistemology, methods, technology and applications  	Lauro, N. C. | Amaturo, E. | Grassia, Maria Gabriella. | Aragona, B. | Marino, Marina.	Cham	Electronic books.	9783319554778 (electronic bk.)3319554778 (electronic bk.)	Studies in classification, data analysis, and knowledge organization.	1 online resource (291 p.).
135	Python data science cookbook : over 60 practical recipes to help you explore Python and its robust data science capabilities  	Subramanian, Gopi	Birmingham, UK	Electronic books.	9781784393663 1784393665	Quick answers to common problems.	1 online resource
136	Python data science cookbook : over 60 practical recipes to help you explore Python and its robust data science capabilities  	Subramanian, Gopi	Birmingham, UK	Electronic books.	9781784393663 1784393665	Quick answers to common problems.	1 online resource
137	Between Data Science and Applied Data Analysis : Proceedings of the 26th Annual Conference of the Gesellschaft fÃ¼r Klassifikation e.V., University of Mannheim, July 22-24, 2002  	Schader, Martin.	Berlin, Heidelberg	Electronic books. | Statistics.	9783642189913 electronic bk.3642189911 electronic bk.	Studies in classification, data analysis, and knowledge organization.	1 online resource (xiii, 693 pages)
138	Introducing data science : big data, machine learning, and more, using Python tools  	Cielen, Davy	Shelter Island, NY		1633430030 9781633430037		xx, 300 pages
139	Jupyter for data science : exploratory analysis, statistical modeling, machine learning, and data visualization with Jupyter  	Toomey, Dan	Birmingham, UK	Electronic books.	9781785883293 1785883291		1 online resource
142	Analytics in a big data world : the essential guide to data science and its applications  	Baesens, Bart.	Hoboken, New Jersey	Electronic books.	9781119204183 (electronic bk.)1119204186 (electronic bk.)9781118892718 (electronic bk.)1118892712 (electronic bk.)9781118892749 (electronic bk.)1118892747 (electronic bk.)9781306685030 1306685036  (cloth)	Wiley and SAS business series.	1 online resource.
144	Introducing data science to social and policy analysts : from collecting to organizing data with R and Python  	Magallanes Reyes, Jose Manuel	Cambridge, United Kingdom ; New York, NY	Electronic books.	9781316338599 (electronic bk.)1316338592 (electronic bk.) (alk. paper) (alk. paper)		1 online resource
147	Data science : innovative developments in data analysis and clustering  	Palumbo, Francesco, | Montanari, Angela, | Vichi, Maurizio,	Cham	Electronic books.	9783319557236 (electronic bk.)3319557238 (electronic bk.)	Studies in classification, data analysis, and knowledge organization.	1 online resource.
149	Soft computing in data science : third International Conference, SCDS 2017, Yogyakarta, Indonesia, November 27-28, 2017, Proceedings  	Mohamed, Azlinah, | Berry, Michael W. | Yap, Bee Wah,	Singapore	Electronic books.	9789811072420 (electronic bk.)9811072426 (electronic bk.) (print)	Communications in computer and information science ; 788. 1865-0929	1 online resource (xvxv, 317 pages)
150	Data science : Second International Conference, ICDS 2015 Sydney, Australia, August 8-9, 2015. Proceedings  	Zhang, Chengqi, | Huang, Wei, | Shi, Yong, | Yu, Philip S. | Zhu, Yangyong, | Tian, Yingjie, | Zhang, Peng, | He, Jing,	Cham	Electronic books.	9783319244747 electronic bk.3319244744 electronic bk. print	Lecture notes in computer science ; 9208. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.	1 online resource (x, 194 p.)
156	Mathematical problems in data science : theoretical and practical methods  	Chen, Li M.	Cham	Electronic books.	9783319251271 electronic bk.3319251279 electronic bk.		1 online resource (xv, 213 pages)
162	Cyber-risk informatics : engineering evaluation with data science  	Sahinoglu, Mehmet, 1951-	Hoboken, New Jersey	Electronic books.	9781119087533 (ePub)1119087538 (ePub)9781119087526 (Adobe PDF)111908752X (Adobe PDF) (cloth)9781119087540 1119087546		1 online resource
163	Strategies in biomedical data science : driving force for innovation  	Etchings, Jay, 1966-	Hoboken, New Jersey	Electronic books.	9781119255970 111925597X	Wiley and SAS business series.	1 online resource
165	Game theory for data science : eliciting truthful information  	Faltings, Boi	[San Rafael, California]	Electronic books.	9781627056083 (ebook)1627056084 (ebook) (print)	Synthesis lectures on artificial intelligence and machine learning ; # 35. 1939-4616	1 online resource (xv, 135 pages)
166	Strategies in biomedical data science : driving force for innovation  	Etchings, Jay, 1966-	Hoboken, New Jersey	Electronic books.	9781119255970 111925597X	Wiley and SAS business series.	1 online resource
167	R data science essentials : learn the essence of data science and visualization using R in no time at all  	Koushik, Raja B.	Birmingham, UK	Electronic books.	9781785286360 1785286366	Community experience distilled.	1 online resource
168	Scala for data science : leverage the power of Scala to build scalable, robust data science applications  	Bugnion, Pascal	Birmingham, UK	Electronic books.	9781785289385 1785289381	Community experience distilled.	1 online resource
169	Python data science essentials : become an efficient data science practitioner by understanding Python's key concepts  	Boschetti Alberto	Birmingham, UK	Electronic books.	9781786462831 1786462834		1 online resource
170	Java for data science : examine the techniques and Java tools supporting the growing field of data science  	Reese, Richard M.	Birmingham, UK	Electronic books.	9781785281242 1785281240		1 online resource
171	Data science with Python : unleash the power of Python and its robust data science capabilities : a course in four modules  	Thakur, Ankita	Birmingham, [England]	Electronic books.	9781786468413 1786468417		1 online resource
172	R data science essentials : learn the essence of data science and visualization using R in no time at all  	Koushik, Raja B.	Birmingham, UK	Electronic books.	9781785286360 1785286366	Community experience distilled.	1 online resource
173	Scala for data science : leverage the power of Scala to build scalable, robust data science applications  	Bugnion, Pascal	Birmingham, UK	Electronic books.	9781785289385 1785289381	Community experience distilled.	1 online resource
174	Data science with Python : unleash the power of Python and its robust data science capabilities : a course in four modules  	Thakur, Ankita	Birmingham, [England]	Electronic books.	9781786468413 1786468417		1 online resource
175	Python data science essentials : become an efficient data science practitioner by understanding Python's key concepts  	Boschetti Alberto	Birmingham, UK	Electronic books.	9781786462831 1786462834		1 online resource
176	Java for data science : examine the techniques and Java tools supporting the growing field of data science  	Reese, Richard M.	Birmingham, UK	Electronic books.	9781785281242 1785281240		1 online resource
177	Quantitative data in science and technology 	Mountstephens, Brenda.	London, Aslib, 1971.		085142032X	Occasional publication (Aslib) ; no. 7 Occasional publication (Aslib) ; no. 7.	v, 24 p. 30 cm.
182	Learning Apache Mahout : acquire practical skills in Big Data Analytics and explore data science with Apache Mahout  	Tiwary, Chandramani	Birmingham, UK	Electronic books.	9781783555222 178355522X	Community experience distilled.	1 online resource
183	Learning Apache Mahout : acquire practical skills in Big Data Analytics and explore data science with Apache Mahout  	Tiwary, Chandramani	Birmingham, UK	Electronic books.	9781783555222 178355522X	Community experience distilled.	1 online resource
184	Machine learning algorithms : reference guide for popular algorithms for data science and machine learning  	Bonaccorso, Giuseppe	Birmingham, UK	Electronic books.	9781785884511 1785884514		1 online resource
185	Machine learning algorithms : reference guide for popular algorithms for data science and machine learning  	Bonaccorso, Giuseppe	Birmingham, UK	Electronic books.	9781785884511 1785884514		1 online resource
187	Beginning data science in R : data analysis, visualization, and modelling for the data scientist  	Mailund, Thomas	New York	Electronic books.	9781484226711 (electronic bk.)1484226712 (electronic bk.)		1 online resource
